Date,Open,High,Low,Close
29-Aug-13,10244.55,10407,10230.9,10390.55
30-Aug-13,10428.55,10544.7,10351.2,10494.4
1-Sep-13,12637.1,12744,12583.8,12609.4
4-Sep-13,11255.1,11301.55,11101.1,11115.7
5-Sep-13,12372.3,12432.6,12311.25,12333.7
7-Sep-13,11737.35,11854,11737.35,11839.75
10-Sep-13,11527,11743.45,11525.6,11724.3
12-Sep-13,12664,12670.7,12546.6,12575.35
13-Sep-13,11024.6,11145.2,11015.25,11088.45
16-Sep-13,11234.35,11247.2,11008,11073.25
17-Sep-13,11051.25,11069.6,10978.7,11039.2
18-Sep-13,11049.6,11116.9,11022.9,11101.5
19-Sep-13,11314.3,11531.25,11300,11495.75
20-Sep-13,11497.85,11545.15,11210.2,11425.7
23-Sep-13,11329.25,11438.45,11252.55,11276.2
24-Sep-13,11225.45,11362.95,11225.45,11284.05
25-Sep-13,11286.55,11347.05,11171.25,11332.65
26-Sep-13,11343.95,11388.05,11296.8,11337.85
27-Sep-13,11373.7,11448.55,11331.35,11357.85
30-Sep-13,11305.5,11328.8,11182,11208
1-Oct-13,12614.9,12695.6,12524.3,12587.15
4-Oct-13,11142.2,11237,11046.4,11222.2
5-Oct-13,12331.05,12440.25,12331.05,12430.85
6-Oct-13,12319.5,12359.1,12058,12117.3
7-Oct-13,11869.1,11899.15,11758.05,11783.85
9-Oct-13,10893.4,11083.6,10893.4,11068.85
10-Oct-13,11739.6,11833.2,11739.6,11808.9
12-Oct-13,12578.75,12597.55,12456.55,12489.8
14-Oct-13,11861.7,11922.65,11844.7,11856
15-Oct-13,11899.3,11924.65,11716.4,11748
17-Oct-13,11757.65,11813.9,11664.1,11687.95
18-Oct-13,11707.45,11870.15,11707.45,11866.55
21-Oct-13,11862.85,12068,11862.85,12053.5
22-Oct-13,12043.9,12129.95,12038.75,12100.15
23-Oct-13,12135.85,12157.05,11957.9,12090.35
24-Oct-13,12078.6,12183.3,12046.4,12060.35
25-Oct-13,12034.6,12066.15,11934.9,11956.45
28-Oct-13,11944.7,12000.7,11795.6,11813.05
29-Oct-13,11812.75,12032.2,11754.4,12015.6
30-Oct-13,12065.65,12112.45,12013.9,12086.3
31-Oct-13,12072.25,12231.6,12072.25,12209.4
1-Nov-13,12589.4,12629.35,12407.75,12429.1
2-Nov-13,12071.95,12094.1,12039.3,12061.25
3-Nov-13,11860.6,11932.85,11842.6,11876.8
4-Nov-13,11253.75,11293.85,11157.4,11252.15
5-Nov-13,12417.55,12475.75,12417.55,12461.9
6-Nov-13,12054.1,12083,11868.15,11890
7-Nov-13,11876.6,11943.5,11849.25,11873.6
9-Nov-13,11076.9,11240.35,11035.45,11203.6
10-Nov-13,11885.95,11921.7,11778.85,11827.75
11-Nov-13,12093.95,12143,11969.05,11986.7
12-Nov-13,12467.4,12480.85,12362.55,12409.25
13-Nov-13,11893.9,12016.2,11857.8,11871.8
14-Nov-13,11951,12115.65,11951,12100.5
18-Nov-13,12171.65,12312.05,12171.65,12299.55
19-Nov-13,12285.5,12339.8,12240.3,12294.35
20-Nov-13,12281.25,12333,12139.5,12168.35
21-Nov-13,12136.95,12148,11931.55,11958.9
22-Nov-13,12015.75,12087.3,11935.65,11992.4
25-Nov-13,12054.25,12187.2,12054.25,12175.55
26-Nov-13,12171.5,12228.8,12103.25,12133.65
